,Title,Release date,Share of positive reviews (in %),Total number of reviews,Normal price (€),Discounted price if there is a sale (€),Sale rate (in %)
5774,BioShock Infinite: Burial at Sea - Episode One,2013-11-12,81,881,14.99,,
5775,The Long Drive,2019-09-25,81,855,9.99,,
5776,Dead by Daylight: Ghost Face®,2019-06-18,81,849,4.99,,
5777,No-brainer Heroes 挂机吧！勇者,2019-11-29,81,833,5.69,3.98,30.0
5778,Weedcraft Inc,2019-04-11,81,835,16.79,,
5779,Taboos: Cracks,2019-05-02,81,838,0.79,,
5780,Dungeons &amp; Dragons: Chronicles of Mystara,2013-06-18,81,820,13.99,,
5781,Sonic &amp; SEGA All-Stars Racing,2010-03-03,81,758,9.99,,
5782,The Crazy Prince Bundle,,81,765,6.85,,
5783,Subterrain - OST Edition,,81,730,16.98,,
5784,Super Seducer 2 - Advanced Seduction Tactics,2018-09-13,81,694,10.79,,
5785,You Must Build A Boat,2015-06-04,81,675,4.99,,
5786,The Void,2009-12-15,81,645,9.99,,
5787,VEGAS Pro 14 Edit Steam Edition,2016-09-30,81,639,199.0,55.72,72.0
5788,Manual Samuel,2016-10-14,81,621,9.99,,
5789,Dead In Vinland - True Viking Edition,,81,625,27.8,,
5790,NIGHTMARE PACK,,81,624,12.96,,
5791,Just Cause™ 3 DLC: Sky Fortress Pack,2016-03-15,81,607,11.99,,
5792,Secret of the Magic Crystals,2010-02-03,81,614,4.99,,
5793,Racing,2015-01-12,81,587,10.99,,
5794,Racing,2015-01-12,81,587,10.99,,
5795,Racing,2015-01-12,81,587,10.99,,
5796,Dead In Vinland,2018-04-12,81,599,19.99,,
5797,Unity of Command II,2019-11-12,81,575,24.99,,
5798,Black Mirror I,2014-06-17,81,565,9.99,,
5799,The Secret Order Collection,,81,568,66.33,,
5800,World's Dawn,2016-01-25,81,561,9.99,,
5801,LEGO® Indiana Jones™: The Original Adventures,2009-07-08,81,552,16.79,,
5802,Age of Empires II (2013): The African Kingdoms,2015-11-05,81,554,9.99,,
5803,Boogeyman 1 + 2 Double Pack,,81,544,7.48,,
5804,Death End re;Quest Deluxe Edition Bundle / デラックスエディション / 豪華組合包,,81,536,33.74,,
5805,Legend of Merchant,2016-12-16,81,527,1.59,,
5806,Enemy on Board - Founder's Edition,2020-05-08,81,523,16.79,,
5807,Angry Video Game Nerd: The Movie,2015-04-28,81,507,2.99,,
5808,Millie Bundle,,81,492,6.01,,
5809,Still Life,2011-06-01,81,477,7.99,,
5810,Neverinth,2019-04-30,81,486,15.99,,
5811,Glorantha Bundle,,81,468,37.17,26.43,29.0
5812,Fate Hunters,2019-07-18,81,475,12.49,,
5813,Farm Frenzy Madness,,81,462,22.45,,
5814,SpyParty,2018-04-12,81,454,22.99,,
5815,Portal 2 - The Final Hours,2011-05-17,81,459,1.99,,
5816,New Retro Arcade: Neon,2016-08-01,81,449,19.99,,
5817,State of Mind,2018-08-15,81,447,29.99,,
5818,Disney Infinity Gold Collection,,81,429,49.98,,
5819,Lines X,2017-10-31,81,420,0.99,,
5820,City of Brass,2018-05-04,81,417,16.79,,
5821,Nowhere Prophet,2019-07-19,81,415,20.99,,
5822,Highschool Romance,2015-11-18,81,400,10.79,,
5823,The Charnel House Trilogy,2015-04-16,81,402,5.0,,
5824,Defunct,2016-01-29,81,402,9.99,,
5825,Tom Clancy’s The Division™ - Survival,2016-11-22,81,391,9.99,,
5826,Borderlands 2: Mr. Torgue’s Campaign of Carnage,2012-11-20,84,369,9.99,,
5827,VRC PRO OFF-ROAD COMPLETE,,81,379,56.63,,
5828,Sudden Strike Trilogy,,81,371,17.97,4.25,76.0
5829,Boogeyman,2015-11-02,81,370,4.99,,
5830,VRC PRO ON-ROAD COMPLETE,,81,369,71.83,,
5831,Darkstar One,2008-02-13,81,349,9.99,,
5832,RAD,2019-08-19,81,347,19.99,,
5833,Stock Car Extreme,2015-02-11,81,344,14.99,,
5834,Outscape,2019-10-22,81,332,20.99,,
5835,Heart&amp;Slash,2016-08-09,81,326,12.49,,
5836,Alien Shooter TD,2017-01-13,81,326,8.19,,
5837,Gun Club VR,2018-08-27,81,326,19.99,14.99,25.0
5838,Heart of Crown PC,2017-12-12,81,324,22.99,,
5839,Cities: Skylines - Parklife,2018-05-24,81,319,14.99,7.49,50.0
5840,Cities: Skylines - Parklife,2018-05-24,81,319,14.99,7.49,50.0
5841,I am not a Monster: First Contact,2018-09-27,81,321,8.99,,
5842,Avadon: The Black Fortress,2011-08-17,81,318,9.99,,
5843,Virtual Rides 3: Ultimate Edition,,81,322,39.94,,
5844,Domestic Dog,2015-04-10,81,317,2.39,,
5845,Cultures - Northland,2015-03-26,81,310,4.99,,
5846,Chris Sawyer's Locomotion™,2015-03-17,81,303,5.99,,
5847,8-Bit Invaders!,2016-12-16,81,280,14.99,,
5848,The Floor is Jelly,2014-05-30,81,265,9.99,,
5849,Call of Duty®: Black Ops III - The Giant Zombies Map,2016-06-02,81,249,5.99,,
5850,Armored Battle Crew WW1 - Supporter Bundle,,81,248,21.36,,
5851,Armored Battle Crew [World War 1] - Tank Warfare and Crew Management Simulator,2019-06-05,81,247,16.79,,
5852,Virtual Pool 4,2015-05-11,81,249,22.99,,
5853,HeXen II,2007-08-03,81,245,4.99,,
5854,Act of War: High Treason,2008-03-12,81,242,2.99,,
5855,One Deck Dungeon,2018-05-18,81,240,8.19,,
5856,Tank Warfare: Tunisia 1943 Complete Edition,,81,232,91.55,14.67,84.0
5857,Patchworks Collection,,81,238,29.93,10.2,66.0
5858,Kingpin — Life of Crime,2009-08-19,81,233,9.99,,
5859,Tricolour Lovestory OST,2017-11-09,81,233,1.99,,
5860,Toadled,2016-09-22,81,221,0.99,,
5861,Tricolour Lovestory Cosplay Album,2018-02-01,81,217,1.99,,
5862,Adeptus Titanicus: Dominus,2018-05-31,81,217,12.49,,
5863,Yesterday Origins,2016-11-10,81,210,14.99,,
5864,Dragon Star Varnir Complete Deluxe Edition Bundle / コンプリートデラックスエディション /完全豪華組合包,,81,204,50.87,,
5865,Tina: Swordswoman of the Scarlet Prison,2019-08-01,81,203,12.49,,
5866,Dragon Star Varnir DLC Bundle / コンプリートエディション / 完全組合包,,81,203,43.5,,
5867,Animal Fight Club: Deluxe Edition,,81,199,7.9,4.58,42.0
5868,Gunjack,2016-04-05,81,202,4.99,,
5869,AppGameKit Unlimited,,81,200,232.89,76.12,67.0
5870,Desert Skies,2019-05-30,81,198,16.79,,
5871,Vector 36,2017-01-25,81,200,20.99,,
5872,Catch a Falling Star,2016-03-30,81,195,0.99,,
5873,Rytmik Lite Loyalty Bundle,,81,194,65.94,25.74,61.0
5874,Legend of Homebody,2018-12-18,81,188,4.99,,
5875,Bloody Trapland 2: Curiosity,2019-02-01,81,190,16.99,,
5876,Seven Kingdoms 2 HD,2015-02-04,81,187,9.99,,
5877,Wizardry 6 and 7,,81,187,4.99,,
5878,Psychedelica of Black Butterfly - Deluxe Bundle,,81,190,26.08,,
5879,Jurassic World Evolution: Secrets of Dr Wu,2018-11-20,81,186,14.99,,
5880,Crisis VRigade,2020-02-11,81,182,9.99,,
5881,Firebird - La Peri,2016-08-19,81,181,3.79,,
5882,Boxing School,2019-01-10,81,177,8.19,,
5883,Hail to the King: Deathbat,2014-10-30,81,174,5.99,,
5884,1000 days to escape,2019-07-25,81,174,3.99,,
5885,Movavi Video Editor 15 Plus,2018-11-29,81,171,39.95,,
5886,Jetman Go,2017-09-29,81,165,1.99,,
5887,Skyworld,2017-10-17,81,164,24.99,,
5888,The Evil Within - The Consequence,2015-04-20,81,166,4.99,,
5889,OMSI 2 Add-on Berlin X10,2015-10-09,81,164,24.95,,
5890,Blood Bowl 2 - Official Expansion + Team Pack,2017-09-05,81,160,29.99,,
5891,Final Theory,2018-09-21,81,164,9.99,,
5892,Iron Danger,2020-03-25,81,161,29.99,,
5893,Iron Danger Supporter Bundle,,81,161,37.98,,
5894,Heroes Rise: The Hero Project,2014-06-17,81,154,3.99,,
5895,Ski Sniper,2017-05-18,81,158,4.99,,
5896,The Emerald Maiden: Symphony of Dreams,2016-02-18,81,155,7.99,,
5897,Don't cut your hand,2017-05-30,81,153,0.79,,
5898,Tethered Deluxe Edition,,81,147,16.39,,
5899,Hacker's Bundle (Hack RUN),,81,146,4.74,,
5900,Treasure Adventure World,2018-02-07,81,140,7.99,,
5901,Bloodsports.TV,2015-03-30,81,138,9.99,,
5902,King's Quest™ Collection,2009-07-23,81,139,19.99,13.39,33.0
5903,World to the West,2017-05-05,81,139,14.99,,
5904,LogicBots,2017-02-08,81,138,16.5,5.61,66.0
5905,Evolution Board Game,2019-02-12,81,138,12.49,,
5906,Devil's Deck,2019-09-17,81,136,12.49,,
5907,Wild West and Wizards,2020-04-28,81,135,12.49,,
5908,18 Wheels of Steel Top Payload Pack 2,,81,135,20.07,,
5909,Demetrios - Deluxe Edition,,81,137,13.97,1.5,89.0
5910,Psy High,2014-12-22,81,131,3.99,,
5911,Oakwood,2018-12-04,81,130,3.99,,
5912,Gay World,2018-01-18,81,127,0.99,,
5913,Gay World - ULTRA Edition,,81,127,1.18,,
5914,Discolored,2019-11-11,81,122,6.49,,
5915,Radical Dungeon Sweeper,2018-02-12,81,121,12.99,,
5916,I will eat you,2019-12-06,81,120,3.99,,
5917,Ages of Mages: The last keeper,2019-02-13,81,119,9.99,,
5918,Songbringer,2017-09-01,81,119,19.99,,
5919,Front Office Football Seven,2015-02-04,81,115,12.49,,
5920,Kart Racing Pro,2017-07-14,81,110,35.99,,
5921,The Yellow King,2020-02-05,81,112,20.99,,
5922,Miner Warfare,2015-06-11,81,110,2.99,1.01,66.0
5923,LoveKami -Healing Harem-,2018-11-14,81,105,10.79,7.01,35.0
5924,Aztez,2017-08-01,81,105,19.99,,
5925,Farming Simulator 17 - KUHN Equipment Pack,2017-02-14,81,103,9.99,,
5926,Ceville,2009-02-27,81,99,3.99,,
5927,Wanted Killer VR,2018-05-23,81,98,9.99,,
5928,URU: Complete Chronicles,2010-08-03,81,100,9.99,,
5929,Through Abandoned: The Underground City,2015-07-22,81,97,0.99,,
5930,X4: Split Vendetta,2020-03-31,81,93,14.99,,
5931,Shaolin vs Wutang 2,2020-03-09,81,93,13.99,,
5932,Batman™: Arkham Knight - A Matter of Family,2015-10-28,81,92,6.99,,
5933,Perimeter,2014-04-03,81,92,3.99,,
5934,Train Frontier Classic,2017-12-14,81,90,9.99,,
5935,Hard Time,2017-08-16,81,88,4.99,,
5936,Endhall,2018-12-04,81,87,2.39,,
5937,嗜血印 Bloody Spell DLC 女祭司,2019-10-01,81,86,3.29,,
5938,Deep GachiGASM,2017-11-13,81,82,1.99,,
5939,All Characters Bundle,,81,80,33.39,16.35,51.0
5940,Guided Meditation VR,2016-10-03,81,76,14.99,,
5941,Littlewitch Romanesque: Editio Regia,2015-04-03,81,76,14.99,,
5942,Influent DLC - Polyglot Pack [All Languages],,81,72,30.0,,
5943,Crazy Machines,2008-12-12,81,72,9.99,,
5944,Turmoil - The Heat Is On,2018-03-21,81,71,4.99,,
5945,Dragonpath,2016-07-06,81,71,7.99,,
5946,Mouse Cursor,2019-10-07,81,71,1.59,,
5947,Car Mechanic Simulator 2018 - Jeep DLC,2017-10-20,81,66,5.99,3.29,45.0
5948,Citizen of Rome - Dynasty Ascendant,2019-05-16,81,66,3.99,,
5949,Civilization V - Civ and Scenario Pack: Polynesia,2011-03-03,81,66,3.49,,
5950,Aquaculture Land,2019-06-07,81,65,8.19,,
5951,Yosumin!™,2009-05-26,81,65,5.99,,
5952,Crystal Crisis,2019-07-31,81,64,16.79,,
5953,Your Future Self,2019-03-08,81,60,2.39,,
5954,Steep™ - Extreme Pack,2017-06-27,81,60,9.99,,
5955,Fernbus Simulator - Comfort Class HD,2017-11-29,81,59,12.95,9.06,30.0
5956,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4 - Shikamaru's Tale Extra Scenario Pack,2016-03-14,81,59,9.99,,
5957,HAMMY,2019-12-18,81,58,2.39,,
5958,Shred! 2 - ft Sam Pilgrim,2018-12-24,81,58,9.99,,
5959,Spirit Island,2020-04-16,81,55,20.99,,
5960,Cursed Lands,2018-05-18,81,55,22.99,,
5961,LEGO Marvel Super Heroes DLC: Asgard Pack,2014-01-14,81,55,1.99,,
5962,Kingdoms of Amalur: Reckoning - Teeth of Naros,2012-04-17,81,55,9.99,,
5963,Azur Lane Crosswave - Deluxe Pack,2020-02-13,81,55,6.59,,
5964,Saints Row: The Third Witches &amp; Wieners Pack,2012-06-12,81,54,2.49,,
5965,Saints Row: The Third - Money Shot Pack,2012-02-13,81,54,1.49,,
5966,Mortal Kombat 11 Terminator T-800,2019-10-08,81,53,5.99,,
5967,Sniper Elite 4 - Deathstorm Part 2: Infiltration,2017-04-25,81,53,6.99,,
5968,Shaq Fu: A Legend Reborn,2018-06-05,81,53,19.99,,
5969,Army Men,2017-12-20,81,53,5.39,,
5970,Dead by Daylight - Stranger Things Edition,,80,227104,31.47,,
5971,Dead by Daylight,2016-06-14,80,225442,19.99,,
5972,Monster Hunter World: Iceborne Master Edition Digital Deluxe,,80,157940,69.99,,
5973,Monster Hunter World: Iceborne Master Edition,,80,157860,59.99,,
5974,Sid Meier’s Civilization® VI,2016-10-20,80,73237,59.99,,
5975,DOOM Eternal,2020-03-19,80,52471,59.99,,
5976,DOOM Eternal,2020-03-19,80,52471,59.99,,
5977,Company of Heroes Franchise Edition,2014-11-03,80,47685,69.99,,
5978,Mortal Kombat 11 and X Bundle,,80,40693,69.98,,
5979,Jurassic World Evolution: Premium Edition,,80,25646,74.73,,
5980,Jurassic World Evolution: Jurassic Park Edition,,80,25076,58.48,,
5981,Jurassic World Evolution,2018-06-11,80,24852,44.99,,
5982,Shadow of the Tomb Raider: Definitive Edition,,82,22642,59.36,,
5983,Borderlands: The Pre-Sequel,2014-10-16,82,21250,39.99,,
5984,HITMAN™ - Game of The Year Edition,,80,21281,57.51,,
5985,The Isle,2015-12-01,80,20057,19.99,,
5986,Mortal Kombat 11 Aftermath Kollection,2020-05-26,80,20181,59.99,,
5987,DARK SOULS™: REMASTERED,2018-05-23,80,19737,39.99,,
5988,Mortal Kombat 11,2019-04-23,80,19834,49.99,,
5989,Need For Speed: Hot Pursuit,2010-12-14,80,15157,19.99,,
5990,Far Cry® Primal,2016-03-01,80,14719,49.99,9.99,80.0
5991,Flatout Complete Pack,2011-12-13,80,13459,39.99,,
5992,Sniper Elite 3 + Season Pass,,80,13369,45.99,,
5993,Sniper Elite 3,2014-06-27,80,13335,27.99,,
5994,【超值版】探灵笔记本体+灵探服装六套豪华版！,,75,8597,21.01,,
5995,探灵笔记/拾遗记-1V5(Notes of Soul),2019-01-17,75,8514,24.99,,
5996,Foxhole,2017-07-27,80,9807,19.99,,
5997,GreedFall,2019-09-09,80,7404,49.99,,
5998,Amazing Cultivation Simulator,2019-01-10,80,6629,15.99,,
5999,Dead Rising Triple Pack,,80,6160,48.94,,
6000,Magicka 2 Complete Collection,,80,5561,42.96,15.94,63.0
6001,Magicka 2,2015-05-26,80,5515,14.99,3.74,75.0
6002,Age of Wonders III,2014-03-31,80,5395,,,
6003,Exanima,2015-04-29,80,4987,14.99,,
6004,Audiosurf 2,2015-05-26,80,4531,14.99,,
6005,Euro Truck Simulator,2013-03-08,80,4484,4.99,,
6006,SOULCALIBUR VI,2018-10-18,80,4218,59.99,,
6007,Homeworld: Deserts of Kharak Deluxe Edition,,80,4171,65.81,,
6008,Halo: Spartan Bundle,2015-04-16,80,3995,4.99,,
6009,Railway Empire,2018-01-26,80,3998,49.99,,
6010,Homeworld: Deserts of Kharak,2016-01-20,80,4028,45.99,,
6011,Sword Art Online: Hollow Realization Deluxe Edition,2017-10-27,80,3785,49.99,,
6012,Battlefleet Gothic: Armada 2 - Complete Edition,,80,3805,51.82,,
6013,Battlefleet Gothic: Armada 2,2019-01-24,80,3717,39.99,,
6014,Battlefleet Gothic: Armada 2 - Deluxe Edition,,80,3717,43.18,,
6015,Startup Company,2020-04-10,80,3493,10.79,,
6016,The Universim - Collector's Edition Bundle (Vol 1),,80,3421,33.68,,
6017,The Universim,2018-08-28,80,3402,27.99,,
6018,Warhammer Strategy Bundle,,80,3352,74.22,,
6019,Halo: Spartan Assault,2014-04-04,80,3244,2.99,,
6020,Hello Neighbor,2017-12-08,80,2860,27.99,,
6021,Versus Evil Digital Board Game Bundle,,80,2693,64.96,28.23,57.0
6022,GOD EATER 2 Rage Burst,2016-08-29,80,2655,49.99,,
6023,Roguelands,2016-06-13,80,2651,8.19,,
6024,Ben and Ed - Blood Bundle,,80,2413,19.98,,
6025,The Guild II Renaissance,2010-07-28,80,2463,9.99,,
6026,The First Tree,2017-09-14,80,2419,9.99,,
6027,LEGO® Harry Potter: Years 1-4,2010-06-25,80,2323,19.99,,
6028,LEGO® Harry Potter: Years 1-4,2010-06-25,80,2323,19.99,,
6029,Granblue Fantasy: Versus,2020-03-13,80,2278,59.99,,
6030,Age of Wonders: Planetfall,2019-08-06,80,2293,49.99,24.99,50.0
6031,The Solus Project,2016-06-07,80,2202,18.99,,
6032,Rise of Industry,2019-05-02,80,2158,29.99,,
6033,LEGO® STAR WARS™: The Force Awakens,2016-06-28,80,2084,29.99,,
6034,Yooka-Laylee: Buddy Duo Bundle,,80,2081,59.48,,
6035,Rocketbirds Double Bundle,,80,1984,19.97,7.85,61.0
6036,Myst 25th Anniversary Collection,,80,1874,71.93,,
6037,Andrii's Horror,,80,1780,17.79,,
6038,Rocketbirds: Hardboiled Chicken,2012-10-15,80,1734,4.99,1.24,75.0
6039,Farmer's Dynasty,2019-11-21,80,1725,29.99,,
6040,WORLD OF FINAL FANTASY® COMPLETE EDITION,,80,1684,39.75,,
6041,Jotun: Valhalla Edition,2015-09-29,80,1595,14.99,,
6042,Just Dance 2017,2016-10-27,80,1543,49.99,,
6043,8-Bit Armies,2016-04-22,80,1535,14.99,,
6044,D4: Dark Dreams Don’t Die -Season One-,2015-06-05,80,1514,14.99,,
6045,FINAL FANTASY III,2014-05-27,80,1490,12.99,,
6046,Scribblenauts Unmasked: A DC Comics Adventure,2013-09-24,80,1421,19.99,,
6047,Hard Truck Apocalypse / Ex Machina,2014-03-14,80,1373,7.99,,
6048,Planet Centauri,2016-06-03,80,1302,13.99,,
6049,Halcyon 6: Lightspeed Edition,2017-08-09,80,1285,14.99,,
6050,Teddy Floppy Ear Bundle,,80,1233,10.99,,
6051,Dead Tech VR Bundle,,80,1245,39.78,26.45,34.0
6052,Proteus,2013-01-30,80,1250,9.99,,
6053,Weapon Shop Fantasy,2017-03-27,80,1152,8.19,,
6054,Edge Of Eternity,2018-12-05,80,1142,19.99,,
6055,Thea 2: The Shattering,2019-05-13,80,1109,21.99,,
6056,Conarium,2017-06-06,80,1056,19.99,,
6057,AaaaaAAaaaAAA!!! + The Wonderful End of the World,2009-12-09,80,1034,14.99,,
6058,Castlevania: Lords of Shadow – Mirror of Fate HD,2014-03-27,80,1006,11.99,,
6059,Crossing Souls,2018-02-13,80,981,14.99,,
6060,Tower Hunter:Erza's Trial + OST,,80,927,15.75,,
6061,Yomawari: Night Alone,2016-10-25,80,924,19.99,,
6062,Party Hard 2,2018-10-25,80,920,16.79,,
6063,Tower Hunter: Erza's Trial,2019-10-12,80,923,14.99,,
6064,VR Kanojo / VRカノジョ,2018-04-08,80,914,45.99,,
6065,Blueprint Tycoon,2016-05-13,80,888,2.99,,
6066,Peekaboo,2019-08-07,80,882,3.99,,
6067,Tiny Troopers,2012-08-24,80,843,4.99,,
6068,'d,2010-11-30,80,861,4.99,,
6069,Revolutionary Bundle,,80,852,33.98,,
6070,CASE 2: Animatronics Survival,2019-02-28,80,826,6.59,2.63,60.0
6071,"Warhammer 40,000: Inquisitor - Prophecy",2019-07-30,80,782,24.99,,
6072,Microcosmum: survival of cells,2015-07-24,80,769,6.59,,
6073,Easy Red,2017-12-01,80,744,3.99,2.99,25.0
6074,MOTHERGUNSHIP,2018-07-17,80,748,24.99,,
6075,Monday Night Combat,2011-01-24,80,758,4.49,,
6076,Radio Commander - Complete Edition,,80,707,20.78,10.24,51.0
6077,Radio Commander,2019-10-10,80,702,16.79,8.39,50.0
6078,We. The Revolution,2019-03-21,80,720,19.99,,
6079,Total War: WARHAMMER - Norsca,2017-08-10,80,687,9.99,,
6080,CHKN,2016-04-01,80,672,14.99,9.74,35.0
6081,Seven: Enhanced Edition,2017-12-01,80,669,29.99,8.99,70.0
6082,Complete Deluxe Edition Bundle / コンプリートデラックスエディション /完全豪華組合包 / Ensemble Edition Deluxe Complet,,80,675,60.16,,
6083,Upgrade to VEGAS Pro 17 Edit,,80,666,598.0,227.36,62.0
6084,UNLOVED,2016-09-29,80,671,3.99,0.99,75.0
6085,Visitor 来访者,2018-07-07,80,664,3.29,,
6086,Unity of Command Trilogy Bundle,,80,654,12.49,,
6087,Cities: Skylines - Natural Disasters,2016-11-29,80,638,14.99,7.49,50.0
6088,King's Bounty: Warriors of the North,2012-10-25,80,627,9.99,,
6089,Hellsplit: Arena,2019-09-09,80,612,20.99,,
6090,Airport Madness Collection,,80,616,46.35,,
6091,Sword Art Online: Lost Song,2018-11-12,80,602,19.99,,
6092,Negligee,2016-10-19,80,598,12.49,,
6093,Lightblade VR,2016-05-31,80,580,3.99,,
6094,Dragon's Lair Trilogy,,80,566,20.97,,
6095,What The Box?,2016-09-12,80,576,4.99,,
6096,Death end re;Quest Complete Deluxe Edition Bundle / コンプリートデラックスエディション /完全豪華組合包,,80,556,48.78,,
6097,Nidhogg 2,2017-08-15,80,554,14.99,4.49,70.0
6098,Death end re;Quest DLC Bundle / コンプリートエディション / 完全組合包,,80,554,41.41,,
6099,Delivery from the Pain 末日方舟,2019-06-12,80,517,6.4,,
6100,"Sorry, James",2017-11-10,80,512,4.99,,
6101,Making History: The Calm &amp; the Storm,2007-03-13,80,515,4.99,,
6102,DreadOut: Keepers of The Dark,2016-03-24,80,489,6.99,1.74,75.0
6103,The Shapeshifting Detective,2018-11-06,80,500,10.99,,
6104,七人杀阵 - Seven Sacrifices,2018-09-14,80,485,5.69,,
6105,Mirror Cosplay Album,2018-01-30,80,473,1.99,,
6106,Accounting+,2018-10-18,80,465,11.99,,
6107,Out of Space,2020-02-26,80,447,12.49,,
6108,Hentai 3018,2018-05-31,80,428,0.79,,
6109,Guns of Icarus Alliance,2017-03-31,80,424,3.99,,
6110,Doodle God,2015-09-24,80,415,11.99,,
6111,Diaries of a Spaceport Janitor,2016-09-16,80,410,9.99,,
6112,Egg Returns Home,2015-05-05,80,406,0.79,,
6113,The Elder Scrolls Online - Elsweyr,2019-05-21,80,405,29.99,,
6114,The Elder Scrolls Online - Elsweyr,2019-05-21,80,405,29.99,,
6115,The Elder Scrolls Online - Elsweyr,2019-05-21,80,405,29.99,,
6116,The Elder Scrolls Online - Elsweyr,2019-05-21,80,405,29.99,,
6117,Dead Secret,2016-03-28,80,397,14.99,,
6118,Borderlands 2: Headhunter 3: Mercenary Day,2013-12-17,82,369,2.99,,
6119,Puyo Puyo Champions / ぷよぷよ eスポーツ,2019-05-06,80,378,9.99,,
6120,Fantasy Versus,2018-05-15,80,377,5.99,,
6121,Graviteam Tactics: Operation Star,2014-02-11,80,372,27.99,,
6122,VRC PRO,2015-03-24,80,363,39.99,,
6123,Command Modern Operations + Tacview Advanced,,80,372,97.45,,
6124,PAGUI打鬼,2019-10-08,80,359,19.99,,
6125,The Last Haven,2020-03-20,80,360,16.79,10.91,35.0
6126,RutonyChat,2016-09-19,80,343,14.99,,
6127,Space bundle,,80,340,20.57,10.89,47.0
6128,The 39 Steps,2013-04-25,80,331,3.99,,
6129,Cities: Skylines - Green Cities,2017-10-19,80,334,12.99,6.49,50.0
6130,Pamali: Folklore Anthology - New Player Bundle,,80,326,11.96,,
6131,Winter Novel,2016-08-10,80,332,1.99,,
6132,Ultimate Admiral: Age of Sail,2020-03-04,80,309,39.99,,
6133,Infinity: Battlescape,2019-09-26,80,304,34.99,,
6134,Pat &amp; Mat,2010-11-05,80,310,4.99,,
6135,LOGistICAL: The Lot,,80,288,157.38,54.94,65.0
6136,Wings! Remastered Edition,2014-10-17,80,286,14.99,,
6137,Mashed,2014-04-24,80,283,4.99,,
6138,Vietnam ‘65,2015-03-05,80,280,9.99,,
6139,Super Indie Karts,2015-05-06,80,273,12.49,,
6140,BloodLust Shadowhunter,2015-09-21,80,281,12.99,,
6141,TOKYO WARFARE,2016-07-29,80,275,4.99,,
6142,牧剑：化神书(Tale Of Swords: Mystery Scroll),2018-02-06,80,266,5.99,,
6143,Monster Energy Supercross - The Official Videogame 2,2019-02-08,80,262,39.99,,
6144,OK/NORMAL,2018-06-18,80,265,2.99,,
6145,Sweet fantasy,2017-04-04,80,263,3.9,,
6146,Ultimate Booster Experience,2016-07-14,80,266,4.99,,
6147,Galaxy Squad,2019-07-15,80,260,8.19,,
6148,Kubifaktorium,2019-07-03,80,257,18.99,,
6149,X2: The Threat,2006-07-21,80,244,4.99,,
6150,Mushroom Wars,2016-04-07,80,244,9.99,,
6151,The Akiba Box,,80,240,80.16,,
6152,Making History II: The War of the World,2010-08-27,80,241,12.99,,
6153,Dead by Daylight: Original Soundtrack,2016-06-14,80,233,9.99,,
6154,Kunoichi Botan,2019-01-03,80,234,12.49,,
6155,Mad Tower Tycoon,2020-01-14,80,233,14.99,,
6156,openCanvas 7,2017-09-20,80,235,50.2,,
6157,Bullet Girls Phantasia,2020-01-16,80,228,29.99,,
6158,Star Wolves,2010-03-02,80,227,3.99,0.79,80.0
6159,TIMEframe,2015-07-07,80,222,4.99,,
6160,Leisure Suit Larry Bundle,,80,218,23.73,,
6161,XCOM: Enemy Unknown - Slingshot Pack,2012-12-04,80,214,6.49,,
6162,Zombie Shooter 2,2009-11-18,80,204,8.19,,
6163,Freeways,2018-02-06,80,202,3.99,,
6164,Romancing SaGa 3,2019-11-11,80,194,31.99,,
6165,Decent Icons,2017-12-18,80,193,2.99,,
6166,BEAUTIFUL DESOLATION,2020-02-26,80,189,16.79,,
6167,Contra Anniversary Collection,2019-06-11,80,183,19.99,,
6168,Collision Course,2017-01-07,80,186,9.39,,
6169,Card Creator,2017-04-18,80,181,33.99,25.49,25.0
6170,Exoplanet: First Contact,2016-12-09,80,179,19.99,,
6171,LocoCycle,2014-02-14,80,180,8.99,,
6172,Trilogy + Groove Coaster Full Bundle,,80,172,28.2,,
6173,Space Quest™ Collection,2009-07-23,80,171,9.99,,
6174,Caladrius Blaze,2017-01-11,80,170,16.79,,
6175,Vengeance,2020-04-29,80,168,6.59,,
6176,Mob Rule Classic,2017-03-31,80,164,5.99,,
6177,Red Comrades 3: Return of Alaska. Reloaded,2017-11-07,80,166,4.99,,
6178,KOBOLD: Chapter I,2018-11-14,80,150,6.99,,
6179,The Caligula Effect: Overdose Digital Limited Edition,,80,146,79.04,,
6180,Inunaki Tunnel | 犬鳴トンネル,2019-11-19,80,140,2.39,,
6181,Vertical Strike Endless Challenge,2017-04-28,80,142,4.99,,
6182,Cellar,2016-03-23,80,139,0.99,,
6183,The Snowboard Game,2018-04-24,80,140,16.79,,
6184,Zen Chess Series,,80,135,4.94,3.62,27.0
6185,Zen Chess Series (FOR GIFTS),,80,135,4.94,4.08,17.0
6186,Apollo 11 VR HD,2018-11-23,80,134,9.99,,
6187,Demetrios - The BIG Cynical Adventure,2016-05-31,80,133,9.99,0.99,90.0
6188,Ministry of Broadcast,2020-01-30,80,127,14.99,,
6189,Mountain Crime: Requital,2015-08-27,80,125,2.99,,
6190,Dying Light - Crash Test Skin Bundle,2016-04-19,80,126,1.99,,
6191,METAL GEAR SOLID V: THE PHANTOM PAIN - Sneaking Suit (The Boss),2015-10-20,80,126,0.99,,
6192,Shera and the Three Treasures,2019-12-13,80,125,12.49,,
